Id,Artist Name,Track Name,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,Class,log_duration_in min/ms,log_acousticness,duration_ms_standard_log,loudness_capped,key_10.0,key_11.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_Unknown,mode_1,time_signature_3,time_signature_4,time_signature_5
1,Marina Maximilian,Not Afraid,-0.30434782608695654,-0.9336283185840707,-0.4617563739376769,0.08329524680073137,-0.18633540372670812,0.692922401102881,-0.025093873861344828,-0.14490470940305564,-0.6581769436997318,0.7672333592088034,-0.04601316225284774,9,-0.04576123870250808,0.6826676461093991,-0.045761238702512294,0.08329524680073137,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2,The Black Keys,Howlin' for You,1.0,0.79646017699115,0.1359773371104817,0.33558043875685567,0.8385093167701863,-0.1267612215809519,0.7863674292469232,-0.15750511891636482,-0.26943699731903475,0.3048406880899754,-0.1956769055745165,6,-0.20102579898673215,-0.14498478368874695,-0.20102579898673215,0.33558043875685567,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
3,Royal & the Serpent,phuck u,0.26869565217391306,0.17256637168141556,0.2974504249291787,0.21012340036563074,0.3064182194616976,-0.18805523751664835,11.011664696474515,0.9765317372814615,0.41420911528150134,0.9455726280983903,-0.5518814533200846,10,-0.6174465952343907,-0.21786053427481109,-0.6174465952343948,0.21012340036563074,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
4,Detroit Blues Band,Missing You,-1.391304347826087,-0.1327433628318585,-1.1076487252124645,-1.759026508226691,-0.32919254658385105,1.9289903497908731,0.3430741951185592,1.077335013387935,0.05495978552278825,1.2423069857842939,1.02708198326637,2,0.8425392545505926,1.597936308460835,0.8425392545505884,-1.759026508226691,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
5,Coast Contra,My Lady,0.17391304347826086,0.0884955752212385,0.2209631728045328,0.43818555758683736,4.180124223602485,0.23728298712526577,-0.025450246853487242,0.5166167900456764,0.371313672922252,-0.7525376725113626,0.52077591048516,5,0.46436516458855925,0.2528365950259817,0.46436516458855087,0.43818555758683736,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
6,Beck,Fuckin With My Head (Mountain Dew Rock),-0.2608695652173913,0.49557522123893794,0.32294617563739375,-0.19367001828153546,3.4968944099378882,-0.17082973105591512,0.8280891454001809,0.4977161757757126,0.29088471849865943,-0.9012959462422304,0.1226480033409657,10,0.11782997007670036,-0.19718902880823852,0.11782997007669616,-0.19367001828153546,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
7,Shadow and Light,Blue,-1.434782608695652,0.4999999999999999,-0.7592067988668555,-1.303587751371115,-0.35403726708074545,1.2466995350141363,5.048936096238092,-0.24444794455819815,0.12734584450402153,0.2840771049497203,-2.4070748528007027,0,-25.27914254331884,1.1297455006009496,-25.279142543318844,-1.303587751371115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,Within The Ruins,Devil In Me,0.043478260869565216,-0.4601769911504426,0.8243626062322947,0.9322440585009141,3.9730848861283645,-0.1901476739023763,-0.024650580627216468,1.5939518034336115,-1.160053619302949,0.47099675865297475,0.04820207082271281,8,0.047009393079261094,-0.22038193042459694,0.047009393079261094,0.9322440585009141,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
9,Crazy Cavan,My Little Sister Gotta Motorbike,-0.2608695652173913,-0.4380530973451328,0.3314447592067989,-0.6280850091407678,0.6107660455486542,0.5527256583405379,0.0,1.3230429988974644,0.6367292225201071,1.5083463204489298,-0.5028499013551072,10,-0.5555982979529027,0.5572569946714957,-0.5555982979529069,-0.6280850091407678,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
10,Day Sulan,Bailar,0.6086956521739131,1.3584070796460173,-0.4645892351274786,0.24531535648994515,0.8799171842650103,0.8354557562445967,-0.025784020582713302,0.7371239565285871,0.006702412868632713,-0.4042024923410585,-0.04475741996803041,5,-0.044500577111727335,0.804690794899489,-0.04450057711173155,0.24531535648994515,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
